Csaladihaz;;;;
Elem ID;Egyedi ID;ARCHICAD Classification - 22;Érintett helyiség neve;Követelmények
BEM-P-014;6EA52F3C-787B-47B4-8BFF-DCE835C7FBF2;Beam;;7-5-Hőátbocsátás#3-10-Forma#1-9-Ökológiai lábnyom#7-5-Akadálymentesítés#8-10-Léghang gátlás#9-7-Színhasználat#
BEM-P-015;98DEF342-3B68-47F8-A9D6-788A139F33E5;Beam;;6-1-Hőátbocsátás#9-6-Forma#8-1-Ökológiai lábnyom#1-10-Akadálymentesítés#5-1-Léghang gátlás#1-7-Színhasználat#
BEM-P-016;FB011235-C694-4556-90E7-3499E33955FF;Beam;;8-9-Hőátbocsátás#1-7-Forma#3-9-Ökológiai lábnyom#8-1-Akadálymentesítés#9-9-Léghang gátlás#9-6-Színhasználat#
BEM-P-017;2A2F9A6E-6271-4410-B840-73DAA5E2931D;Beam;;8-3-Hőátbocsátás#10-3-Forma#3-4-Ökológiai lábnyom#7-2-Akadálymentesítés#3-2-Léghang gátlás#4-8-Színhasználat#
BEM-P-018;A9AAC040-4809-4A5E-A88A-501075F9980A;Beam;;7-3-Hőátbocsátás#3-1-Forma#2-1-Ökológiai lábnyom#4-7-Akadálymentesítés#9-1-Léghang gátlás#3-3-Színhasználat#
BEM-P-019;1E7ACAA0-3DBC-4CBB-914B-2E4FD35152DD;Beam;;9-10-Hőátbocsátás#9-6-Forma#10-6-Ökológiai lábnyom#7-6-Akadálymentesítés#1-10-Léghang gátlás#7-4-Színhasználat#
BEM-P-020;6170A6CB-A593-486F-8B67-FB4FF7370076;Beam;;6-9-Hőátbocsátás#1-1-Forma#1-7-Ökológiai lábnyom#6-2-Akadálymentesítés#4-1-Léghang gátlás#3-6-Színhasználat#
BEM-P-021;AC1A0748-551D-46E2-AC0E-2FCF1102F923;Beam;;8-10-Hőátbocsátás#3-7-Forma#2-10-Ökológiai lábnyom#5-8-Akadálymentesítés#3-1-Léghang gátlás#2-3-Színhasználat#
BEM-P-022;D5FE7084-4A9B-4E0A-8104-DBEB10DF98D0;Beam;;3-10-Hőátbocsátás#2-8-Forma#2-7-Ökológiai lábnyom#2-8-Akadálymentesítés#2-8-Léghang gátlás#9-8-Színhasználat#
BEM-P-023;EA765F11-AF4B-4133-A018-D5FB02A88184;Beam;;3-10-Hőátbocsátás#3-10-Forma#1-6-Ökológiai lábnyom#9-7-Akadálymentesítés#3-1-Léghang gátlás#8-7-Színhasználat#
BEM-P-024;71177EF9-EC20-43CD-99F9-A61DBD19F273;Beam;;2-8-Hőátbocsátás#3-10-Forma#1-10-Ökológiai lábnyom#5-3-Akadálymentesítés#4-10-Léghang gátlás#3-5-Színhasználat#
BEM-P-025;91EDCDDC-232A-45AB-A0CD-5E3AFD7B3406;Beam;;2-4-Hőátbocsátás#7-9-Forma#8-6-Ökológiai lábnyom#6-6-Akadálymentesítés#9-10-Léghang gátlás#1-2-Színhasználat#
BEM-P-026;2153F0FA-9EB3-4EFA-8A04-DB174B84A43C;Beam;;10-3-Hőátbocsátás#5-3-Forma#1-8-Ökológiai lábnyom#1-10-Akadálymentesítés#9-9-Léghang gátlás#6-6-Színhasználat#
BMR - 005;71DA84D5-CB04-467A-86D2-0417881A6BAA;Beam;;9-8-Hőátbocsátás#2-3-Forma#9-6-Ökológiai lábnyom#3-3-Akadálymentesítés#5-8-Léghang gátlás#2-5-Színhasználat#
BMR - 006;7B6FF131-00AB-43A3-93A8-31F7DFE7B363;Beam;Livingroom;9-6-Hőátbocsátás#9-2-Forma#4-4-Ökológiai lábnyom#1-2-Akadálymentesítés#10-7-Léghang gátlás#3-3-Színhasználat#
BRC-001;5409094F-BC19-42C8-BFC1-1B62FD1EE439;Fastener;parking space;3-7-Hőátbocsátás#3-4-Forma#10-5-Ökológiai lábnyom#3-5-Akadálymentesítés#5-1-Léghang gátlás#2-1-Színhasználat#
BRC-002;DE6950BA-4533-4669-BA93-B4725505BCDB;Fastener;parking space;5-4-Hőátbocsátás#5-3-Forma#5-5-Ökológiai lábnyom#3-1-Akadálymentesítés#10-3-Léghang gátlás#5-2-Színhasználat#
BRC-003;1119DE1F-285E-46B6-B395-E07AB62EA167;Fastener;parking space;6-4-Hőátbocsátás#4-10-Forma#9-6-Ökológiai lábnyom#8-4-Akadálymentesítés#8-8-Léghang gátlás#9-7-Színhasználat#
BRC-004;9B806E4A-7B65-49B8-B144-783174CEDAEC;Fastener;parking space;5-8-Hőátbocsátás#1-8-Forma#9-3-Ökológiai lábnyom#3-4-Akadálymentesítés#7-1-Léghang gátlás#8-1-Színhasználat#
BSL-004;0D35B490-511C-46E2-9A9B-FD58E40D2ACF;Slab;;5-7-Hőátbocsátás#6-5-Forma#7-7-Ökológiai lábnyom#5-6-Akadálymentesítés#10-7-Léghang gátlás#4-6-Színhasználat#
BSL-004;4546078E-599F-4ACA-B062-2962C0B8046B;Slab;;10-7-Hőátbocsátás#3-7-Forma#5-1-Ökológiai lábnyom#10-10-Akadálymentesítés#7-2-Léghang gátlás#3-7-Színhasználat#
BSL-004;868E805C-CF59-4C53-B379-A48D760C4BCE;Slab;;7-8-Hőátbocsátás#8-7-Forma#5-9-Ökológiai lábnyom#10-9-Akadálymentesítés#10-8-Léghang gátlás#10-3-Színhasználat#
BSL-004;8F79DE66-FBBF-463A-83C9-7C90AC9B4FA6;Slab;;10-8-Hőátbocsátás#7-7-Forma#7-9-Ökológiai lábnyom#4-9-Akadálymentesítés#7-7-Léghang gátlás#2-2-Színhasználat#
BSL-004;A14F0C3B-D916-4FED-8866-8DC3AF7BB0E1;Slab;;7-6-Hőátbocsátás#5-7-Forma#5-7-Ökológiai lábnyom#1-3-Akadálymentesítés#8-8-Léghang gátlás#4-5-Színhasználat#
BSL-004;B4329D4C-F8D2-45E7-9C8F-8B91388BE2F0;Slab;;9-1-Hőátbocsátás#6-5-Forma#5-5-Ökológiai lábnyom#9-7-Akadálymentesítés#10-10-Léghang gátlás#6-9-Színhasználat#
BSL-004;ECE5B569-1D3B-4BC4-A485-C76B069C1E4E;Slab;;5-2-Hőátbocsátás#1-10-Forma#10-6-Ökológiai lábnyom#8-1-Akadálymentesítés#1-1-Léghang gátlás#7-5-Színhasználat#
CLG-001;9971A5BE-A81D-4FD5-88FE-10199C739F10;Ceiling;;2-6-Hőátbocsátás#2-1-Forma#2-7-Ökológiai lábnyom#8-6-Akadálymentesítés#6-5-Léghang gátlás#5-9-Színhasználat#
CLG-002;D9A39996-B3E8-4BCD-BFB1-E3D755FF2208;Ceiling;;6-5-Hőátbocsátás#3-8-Forma#1-3-Ökológiai lábnyom#10-9-Akadálymentesítés#6-1-Léghang gátlás#10-4-Színhasználat#
CLG-003;68ECAC1B-E894-4EA5-BC0F-84CDE17FF1C7;Ceiling;;5-8-Hőátbocsátás#5-2-Forma#3-6-Ökológiai lábnyom#8-1-Akadálymentesítés#2-10-Léghang gátlás#10-8-Színhasználat#
CLG-004;A8DC1AFC-F4AF-46A8-BF7F-8579C3C06B6D;Ceiling;;8-5-Hőátbocsátás#8-8-Forma#5-2-Ökológiai lábnyom#8-9-Akadálymentesítés#6-4-Léghang gátlás#8-7-Színhasználat#
CLG-005;8E115D58-3143-432E-B360-045B35F25424;Ceiling;;7-6-Hőátbocsátás#4-2-Forma#7-2-Ökológiai lábnyom#2-5-Akadálymentesítés#5-1-Léghang gátlás#4-7-Színhasználat#
COL-E-001;466E6BE6-AE74-47C6-B0B8-E7E032298C51;Column;;7-7-Hőátbocsátás#5-10-Forma#5-10-Ökológiai lábnyom#7-2-Akadálymentesítés#7-5-Léghang gátlás#1-2-Színhasználat#
COL-E-002;2722E8F4-EE85-46A3-9AAE-0FCCED9BFFCF;Column;;6-8-Hőátbocsátás#3-7-Forma#9-6-Ökológiai lábnyom#3-3-Akadálymentesítés#7-10-Léghang gátlás#10-3-Színhasználat#
COL-E-003;F50AA6BE-110E-443F-AD1F-EA5EAC66EB23;Column;;5-1-Hőátbocsátás#8-7-Forma#1-9-Ökológiai lábnyom#8-5-Akadálymentesítés#10-6-Léghang gátlás#9-8-Színhasználat#
COL-E-004;DBB76037-5CD5-4127-8A83-D0AAA007458C;Column;;8-7-Hőátbocsátás#3-5-Forma#8-2-Ökológiai lábnyom#4-10-Akadálymentesítés#3-5-Léghang gátlás#8-9-Színhasználat#
COL-E-005;84C89E13-9634-482F-9F5A-9C9647DF438B;Column;;6-1-Hőátbocsátás#1-10-Forma#7-8-Ökológiai lábnyom#7-1-Akadálymentesítés#5-4-Léghang gátlás#1-9-Színhasználat#
COL-E-006;514B20A3-D317-464B-8BD8-E80E740A45C6;Column;;1-2-Hőátbocsátás#8-7-Forma#1-5-Ökológiai lábnyom#7-9-Akadálymentesítés#7-2-Léghang gátlás#9-5-Színhasználat#
COL-E-007;A29B7460-706F-492B-9AE9-6B9B165C5582;Column;;8-2-Hőátbocsátás#3-8-Forma#1-6-Ökológiai lábnyom#5-3-Akadálymentesítés#2-4-Léghang gátlás#4-4-Színhasználat#
COL-E-008;E2E62CCD-E6BC-4A14-964A-FB945CDE9DBE;Column;;2-6-Hőátbocsátás#1-2-Forma#8-4-Ökológiai lábnyom#4-6-Akadálymentesítés#1-9-Léghang gátlás#5-1-Színhasználat#
COL-E-009;033559B9-C52A-42BD-8F1B-07C8F201FCEE;Column;;9-3-Hőátbocsátás#3-6-Forma#5-5-Ökológiai lábnyom#2-8-Akadálymentesítés#5-10-Léghang gátlás#3-9-Színhasználat#
COL-E-010;F02B7C05-C6B9-40E7-BE2F-CBB46F11377A;Column;;8-8-Hőátbocsátás#9-3-Forma#2-2-Ökológiai lábnyom#5-6-Akadálymentesítés#5-5-Léghang gátlás#7-5-Színhasználat#
COL-E-011;F948A761-DF22-455F-9865-EBCCE1B6CF56;Column;;5-2-Hőátbocsátás#3-9-Forma#2-10-Ökológiai lábnyom#8-4-Akadálymentesítés#8-9-Léghang gátlás#10-3-Színhasználat#
COL-E-012;0BDE6E9B-90B6-45A4-A62F-5B2F08CFB596;Column;;2-10-Hőátbocsátás#4-8-Forma#9-2-Ökológiai lábnyom#10-4-Akadálymentesítés#8-1-Léghang gátlás#10-10-Színhasználat#
COL-E-013;935E78B3-E17D-4289-8AF1-C6DD141CC8DA;Column;;8-6-Hőátbocsátás#7-1-Forma#10-8-Ökológiai lábnyom#4-4-Akadálymentesítés#3-2-Léghang gátlás#9-5-Színhasználat#
COL-E-014;E06C72A4-6C45-4CCA-B7FF-3EC764118FEA;Column;;9-2-Hőátbocsátás#3-3-Forma#4-9-Ökológiai lábnyom#3-7-Akadálymentesítés#5-2-Léghang gátlás#4-8-Színhasználat#
COL-E-015;875AEA5F-8447-4A2F-95E3-A1AF2DBD24A3;Column;;5-3-Hőátbocsátás#6-1-Forma#1-6-Ökológiai lábnyom#2-3-Akadálymentesítés#8-8-Léghang gátlás#9-3-Színhasználat#
COL-E-016;F1FA201D-1BE6-4E09-ACA4-5A81FF65F614;Column;;9-6-Hőátbocsátás#10-3-Forma#9-9-Ökológiai lábnyom#6-8-Akadálymentesítés#4-5-Léghang gátlás#4-6-Színhasználat#
COL-E-017;453DEDF7-2B09-4897-870E-99511D340997;Column;;10-3-Hőátbocsátás#9-4-Forma#2-2-Ökológiai lábnyom#2-3-Akadálymentesítés#9-6-Léghang gátlás#3-8-Színhasználat#
COL-E-018;4D88C442-F67E-41F0-8DAA-AA01CE88F3DA;Column;;8-5-Hőátbocsátás#3-8-Forma#2-9-Ökológiai lábnyom#2-10-Akadálymentesítés#1-4-Léghang gátlás#8-9-Színhasználat#
COL-E-019;61CF09AE-5429-4502-9236-911C33C3356E;Column;;2-6-Hőátbocsátás#5-10-Forma#4-4-Ökológiai lábnyom#10-6-Akadálymentesítés#6-7-Léghang gátlás#8-3-Színhasználat#
COL-E-020;BCB92009-7BC9-4938-B75C-CE091113DB0F;Column;;8-4-Hőátbocsátás#10-10-Forma#9-6-Ökológiai lábnyom#5-5-Akadálymentesítés#7-1-Léghang gátlás#7-4-Színhasználat#
COL-E-021;EA38A78E-635D-4E49-8149-82415AE1F178;Column;;7-8-Hőátbocsátás#7-9-Forma#8-6-Ökológiai lábnyom#7-9-Akadálymentesítés#1-2-Léghang gátlás#10-3-Színhasználat#
COL-E-022;FDAA4846-E869-40A9-8937-2AB18EFA8760;Column;;1-3-Hőátbocsátás#9-7-Forma#5-7-Ökológiai lábnyom#7-5-Akadálymentesítés#3-5-Léghang gátlás#6-10-Színhasználat#
COL-E-023;205BBD9F-161D-46AD-8C51-10548EA11163;Column;;4-9-Hőátbocsátás#10-1-Forma#10-4-Ökológiai lábnyom#8-6-Akadálymentesítés#3-8-Léghang gátlás#7-7-Színhasználat#
COL-E-024;564262E0-2EB5-4C81-A5D2-50A4B3308104;Column;;8-2-Hőátbocsátás#6-3-Forma#2-4-Ökológiai lábnyom#8-3-Akadálymentesítés#10-10-Léghang gátlás#1-1-Színhasználat#
COL-E-025;B1ABD3AC-4A0F-4195-A655-1B155EECA7D5;Wall;;9-8-Hőátbocsátás#1-8-Forma#1-2-Ökológiai lábnyom#4-7-Akadálymentesítés#6-6-Léghang gátlás#9-8-Színhasználat#
COL-I-001;AAE1EF29-7C5C-4138-A588-6A0A8AE8BE8D;Column;Corridor;5-2-Hőátbocsátás#1-10-Forma#6-6-Ökológiai lábnyom#2-7-Akadálymentesítés#7-9-Léghang gátlás#9-7-Színhasználat#
COL-I-002;20D60D8D-6C6C-4A31-A4B8-DE773E8BCFC8;Column;Stairway;5-2-Hőátbocsátás#2-5-Forma#3-1-Ökológiai lábnyom#5-4-Akadálymentesítés#2-1-Léghang gátlás#9-8-Színhasználat#
COL-I-003;AF72D1C8-C112-490B-80FD-7BAF4A180FB6;Column;Corridor I;4-4-Hőátbocsátás#1-6-Forma#6-8-Ökológiai lábnyom#10-6-Akadálymentesítés#3-5-Léghang gátlás#1-3-Színhasználat#
COL-I-004;04785CF9-0E8B-415B-84FD-9F647188748A;Column;;6-4-Hőátbocsátás#5-6-Forma#9-7-Ökológiai lábnyom#9-1-Akadálymentesítés#7-4-Léghang gátlás#5-1-Színhasználat#
COL-P-001;2428793B-4A80-476C-BFD5-2FC6A9E8AADB;Column;;9-5-Hőátbocsátás#1-3-Forma#1-7-Ökológiai lábnyom#5-7-Akadálymentesítés#4-6-Léghang gátlás#10-3-Színhasználat#
COL-P-001;7E9C0071-94F9-4781-AEE3-E55D9D0B429E;Column;;9-8-Hőátbocsátás#2-2-Forma#3-3-Ökológiai lábnyom#10-3-Akadálymentesítés#6-3-Léghang gátlás#7-5-Színhasználat#
COL-P-002;0C0072BE-6EF7-4B8B-9935-D859301AD6A2;Column;;5-3-Hőátbocsátás#7-9-Forma#10-7-Ökológiai lábnyom#9-10-Akadálymentesítés#7-5-Léghang gátlás#7-2-Színhasználat#
COL-P-002;C01BF725-EFE8-4881-961C-2B98703132B7;Column;;5-1-Hőátbocsátás#10-4-Forma#6-10-Ökológiai lábnyom#9-9-Akadálymentesítés#4-7-Léghang gátlás#3-9-Színhasználat#
COL-P-003;03AA2281-BD91-4FCA-8E1C-30F321600E98;Column;;2-4-Hőátbocsátás#4-2-Forma#1-1-Ökológiai lábnyom#5-2-Akadálymentesítés#8-7-Léghang gátlás#1-6-Színhasználat#
COL-P-003;B701A4E1-FEFB-483C-965A-03A598202093;Column;;2-6-Hőátbocsátás#5-8-Forma#9-6-Ökológiai lábnyom#5-2-Akadálymentesítés#2-5-Léghang gátlás#2-9-Színhasználat#
COL-P-004;72CE8EFB-557F-4F78-BA96-FFC456F1F07C;Column;;2-6-Hőátbocsátás#3-6-Forma#10-2-Ökológiai lábnyom#7-1-Akadálymentesítés#6-9-Léghang gátlás#10-9-Színhasználat#
COL-P-004;A000D52B-2E54-41FB-9E92-BA38AADB6642;Column;;3-8-Hőátbocsátás#9-6-Forma#3-6-Ökológiai lábnyom#7-8-Akadálymentesítés#7-3-Léghang gátlás#3-6-Színhasználat#
COL-P-005;04B28832-4A75-4128-83E9-41232E77197E;Column;Balcony;8-4-Hőátbocsátás#9-2-Forma#1-8-Ökológiai lábnyom#3-1-Akadálymentesítés#6-10-Léghang gátlás#2-3-Színhasználat#
COL-P-005;399AE24A-7D59-44D2-9F7C-D019A0B3AD61;Column;;9-9-Hőátbocsátás#3-10-Forma#5-5-Ökológiai lábnyom#9-1-Akadálymentesítés#10-1-Léghang gátlás#1-5-Színhasználat#
COL-P-006;4A3D7CC3-7429-4564-861B-5CD2FF88FA93;Column;;4-10-Hőátbocsátás#5-6-Forma#7-8-Ökológiai lábnyom#8-1-Akadálymentesítés#10-7-Léghang gátlás#8-9-Színhasználat#
COL-P-006;580B2A84-DF47-4708-BD6E-9BB15E36A1F7;Column;;9-4-Hőátbocsátás#2-10-Forma#4-8-Ökológiai lábnyom#9-6-Akadálymentesítés#6-9-Léghang gátlás#6-3-Színhasználat#
COL-P-007;8F68BFF2-2CE1-4E6F-850C-F5C5D9946ABB;Column;;9-6-Hőátbocsátás#9-4-Forma#8-9-Ökológiai lábnyom#5-2-Akadálymentesítés#2-2-Léghang gátlás#10-3-Színhasználat#
COL-P-007;9AEFA57B-C91B-4814-9F8F-CB58D3DBABBF;Column;Balcony;6-5-Hőátbocsátás#7-6-Forma#2-6-Ökológiai lábnyom#5-1-Akadálymentesítés#10-8-Léghang gátlás#9-9-Színhasználat#
COL-P-008;7A1C92F0-E0DD-463C-B389-91A200862947;Column;;8-9-Hőátbocsátás#1-4-Forma#9-5-Ökológiai lábnyom#4-5-Akadálymentesítés#8-6-Léghang gátlás#6-2-Színhasználat#
COL-P-008;F4B79D0A-336E-4B9D-9B53-A517E00EADE3;Column;Balcony;4-4-Hőátbocsátás#4-8-Forma#6-1-Ökológiai lábnyom#5-2-Akadálymentesítés#10-4-Léghang gátlás#7-8-Színhasználat#
COL-P-009;519F7DC5-7901-4D57-986B-02859DCBAFE3;Column;parking space;5-1-Hőátbocsátás#9-5-Forma#6-2-Ökológiai lábnyom#7-9-Akadálymentesítés#9-4-Léghang gátlás#4-3-Színhasználat#
COL-P-010;4B1E08DD-25E4-45B8-8D0B-1FDA9F1EFDEE;Column;parking space;9-8-Hőátbocsátás#4-4-Forma#10-4-Ökológiai lábnyom#1-4-Akadálymentesítés#9-8-Léghang gátlás#7-8-Színhasználat#
COL-P-011;26D51B27-EA28-4A91-B000-1065EE307341;Column;parking space;4-5-Hőátbocsátás#4-6-Forma#10-2-Ökológiai lábnyom#5-9-Akadálymentesítés#7-6-Léghang gátlás#3-10-Színhasználat#
COL-P-012;F546FBCD-E5AE-4AA3-ADC4-DE21A7962538;Column;parking space;9-8-Hőátbocsátás#2-9-Forma#6-4-Ökológiai lábnyom#1-6-Akadálymentesítés#8-1-Léghang gátlás#8-1-Színhasználat#
COL-P-013;5D4621AC-E028-46AA-B6D4-6FAC151C1650;Column;parking space;4-9-Hőátbocsátás#6-4-Forma#8-10-Ökológiai lábnyom#10-5-Akadálymentesítés#2-6-Léghang gátlás#4-3-Színhasználat#
COL-P-014;3692CE92-B298-4CD8-A113-C4B942FFD16E;Column;parking space;9-1-Hőátbocsátás#3-10-Forma#8-4-Ökológiai lábnyom#3-2-Akadálymentesítés#8-5-Léghang gátlás#7-7-Színhasználat#
CRE - 003;8EC24E06-5E78-4CAB-8E1E-B4BF81FB097D;Column;;3-1-Hőátbocsátás#4-5-Forma#7-4-Ökológiai lábnyom#6-5-Akadálymentesítés#5-6-Léghang gátlás#3-4-Színhasználat#
CW-002;064ABDA7-74E4-41FE-AB40-75111B7E2CFA;Curtain Wall;;7-7-Hőátbocsátás#10-2-Forma#3-3-Ökológiai lábnyom#6-8-Akadálymentesítés#4-5-Léghang gátlás#7-9-Színhasználat#
CW-002;75CDC750-6DBC-4259-A405-39B5C0992A88;Curtain Wall;;5-3-Hőátbocsátás#8-7-Forma#4-3-Ökológiai lábnyom#9-3-Akadálymentesítés#8-7-Léghang gátlás#8-4-Színhasználat#
DOR-001;6FFE8F47-6FBB-41E8-AD40-2E6AB60B6F46;Door;Bathroom;6-1-Hőátbocsátás#6-4-Forma#3-6-Ökológiai lábnyom#2-3-Akadálymentesítés#7-7-Léghang gátlás#8-3-Színhasználat#
DOR-002;DEA5FA02-3F3B-46E3-B4F9-E508A81263BD;Door;WC;3-2-Hőátbocsátás#3-1-Forma#4-7-Ökológiai lábnyom#3-3-Akadálymentesítés#6-7-Léghang gátlás#7-6-Színhasználat#
DOR-003;2CB92AB5-FFE7-4326-B35D-012298239E97;Door;Corridor I;3-7-Hőátbocsátás#9-5-Forma#7-2-Ökológiai lábnyom#7-5-Akadálymentesítés#9-10-Léghang gátlás#9-9-Színhasználat#
DOR-003;5DA2BEEE-82BF-4066-99FA-370C824011AA;Door;Mechanical room;7-1-Hőátbocsátás#5-1-Forma#2-1-Ökológiai lábnyom#5-9-Akadálymentesítés#4-8-Léghang gátlás#10-2-Színhasználat#
DOR-003;95D3E85A-69DE-4E5D-993D-74480D3FBDBA;Door;Kitchen;6-9-Hőátbocsátás#3-3-Forma#7-2-Ökológiai lábnyom#1-7-Akadálymentesítés#9-5-Léghang gátlás#6-2-Színhasználat#
DOR-004;5DC21CCC-0E81-4792-9702-B7ADE839DD56;Door;Bathroom;3-9-Hőátbocsátás#4-8-Forma#4-3-Ökológiai lábnyom#2-8-Akadálymentesítés#4-1-Léghang gátlás#1-4-Színhasználat#
DOR-004;7239ACE6-7D3F-403F-8BF6-788731460469;Door;Bedroom;6-4-Hőátbocsátás#5-9-Forma#7-10-Ökológiai lábnyom#2-2-Akadálymentesítés#7-6-Léghang gátlás#10-5-Színhasználat#
DOR-004;94000EBA-D5F7-4A49-A49A-D02D795469A0;Door;Corridor;6-9-Hőátbocsátás#2-1-Forma#2-5-Ökológiai lábnyom#8-1-Akadálymentesítés#7-7-Léghang gátlás#6-4-Színhasználat#
DOR-004;957292E3-D62C-4E9F-B4BA-7910D951C7EA;Door;Bedroom;5-3-Hőátbocsátás#1-1-Forma#7-6-Ökológiai lábnyom#2-8-Akadálymentesítés#4-6-Léghang gátlás#3-7-Színhasználat#
DOR-004;EBE7C6CA-ACCF-43DC-9C14-C706034272F7;Door;Office room;3-9-Hőátbocsátás#2-3-Forma#6-5-Ökológiai lábnyom#2-2-Akadálymentesítés#1-6-Léghang gátlás#8-8-Színhasználat#
DOR-005;88F67B78-10AA-4E8F-8287-115D5C909319;Door;Corridor;8-9-Hőátbocsátás#7-10-Forma#4-8-Ökológiai lábnyom#8-9-Akadálymentesítés#4-6-Léghang gátlás#5-8-Színhasználat#
DOR-006;9EC9F642-7278-4AE1-8B77-8A130BCA6719;Door;Mechanical room;2-4-Hőátbocsátás#8-8-Forma#1-7-Ökológiai lábnyom#10-2-Akadálymentesítés#9-3-Léghang gátlás#8-8-Színhasználat#
DOR-006;BE0E8523-81A2-4170-AC4B-D9230200DFCE;Door;Corridor I;10-7-Hőátbocsátás#1-2-Forma#10-7-Ökológiai lábnyom#10-8-Akadálymentesítés#8-9-Léghang gátlás#10-8-Színhasználat#
DOR-007;D7384447-DCD4-4CAD-8082-B1CE01B9F3EE;Door;Bedroom;10-6-Hőátbocsátás#6-8-Forma#9-3-Ökológiai lábnyom#2-1-Akadálymentesítés#9-4-Léghang gátlás#1-5-Színhasználat#
DOR-008;01989053-81D8-460E-B14C-DAA565EB257D;Door;;4-10-Hőátbocsátás#2-7-Forma#4-7-Ökológiai lábnyom#6-8-Akadálymentesítés#9-9-Léghang gátlás#3-10-Színhasználat#
DOR-009;EA383A03-3BFD-4311-9195-98F03B563C27;Door;Stairway;7-6-Hőátbocsátás#3-10-Forma#1-9-Ökológiai lábnyom#1-7-Akadálymentesítés#7-6-Léghang gátlás#8-6-Színhasználat#
DOR-010;105D8986-B8EA-4CBA-BB07-1CC4780EABBD;Door;Entrance;4-1-Hőátbocsátás#9-2-Forma#8-7-Ökológiai lábnyom#7-10-Akadálymentesítés#9-1-Léghang gátlás#9-6-Színhasználat#
DOR-011;FF28A4AB-1076-4B07-9609-6B944E91272E;Door;Dining;3-8-Hőátbocsátás#3-5-Forma#10-5-Ökológiai lábnyom#8-2-Akadálymentesítés#6-8-Léghang gátlás#4-7-Színhasználat#
FND-001;570A2B89-D01C-4237-BFB7-1411EBD0D042;Column;;7-9-Hőátbocsátás#6-5-Forma#9-9-Ökológiai lábnyom#1-2-Akadálymentesítés#10-10-Léghang gátlás#8-3-Színhasználat#
FND-002;5B381C66-7E2E-4EC8-935F-86E941A1D5E0;Column;;2-8-Hőátbocsátás#9-5-Forma#6-10-Ökológiai lábnyom#2-9-Akadálymentesítés#4-2-Léghang gátlás#5-7-Színhasználat#
